  steps=6 w3a       acc None  nll 3.741  fid 0.3255  gen 0 (245s)
  steps=6 w3g32     acc None  nll 1.025  fid 0.7070  gen 0 (249s)
  steps=6 w2a       acc None  nll 11.082  fid -0.0023  gen 0 (247s)
  steps=8 bf16      acc None  nll 0.847  gen 0 (299s)
  steps=8 w8t       acc None  nll 0.871  fid 0.9647  gen 0 (324s)
  steps=8 w8c       acc None  nll 0.847  fid 0.9984  gen 0 (321s)
  steps=8 w8a       acc None  nll 0.847  fid 0.9983  gen 0 (320s)
  steps=8 w6c       acc None  nll 0.839  fid 0.9804  gen 0 (313s)
  steps=8 w6a       acc None  nll 0.859  fid 0.9866  gen 0 (319s)
  steps=8 w5c       acc None  nll 0.862  fid 0.9375  gen 0 (308s)
  steps=8 w5a       acc None  nll 0.837  fid 0.9473  gen 0 (318s)
  steps=8 w4t       acc None  nll 13.075  fid 0.0216  gen 0 (315s)
  steps=8 w4c       acc None  nll 0.906  fid 0.8267  gen 0 (316s)
  steps=8 w4a       acc None  nll 0.911  fid 0.8301  gen 0 (320s)
  steps=8 w4g128    acc None  nll 0.865  fid 0.8923  gen 0 (313s)
  steps=8 w4g32     acc None  nll 0.887  fid 0.8958  gen 0 (313s)
  steps=8 w3c       acc None  nll 8.277  fid 0.0494  gen 0 (315s)
  steps=8 w3a       acc None  nll 4.867  fid 0.2709  gen 0 (317s)
  steps=8 w3g32     acc None  nll 1.211  fid 0.6595  gen 0 (320s)
  steps=8 w2a       acc None  nll 10.415  fid 0.0012  gen 0 (323s)
wrote /home/ubuntu/breadth/results/ouro26_gsm8k_s1_2_3_4_6_8_nogen.json 102
