  steps=1 bf16      acc None  nll 1.814  gen 0 (22s)
  steps=1 w8t       acc None  nll 2.178  fid 0.9158  gen 0 (34s)
  steps=1 w8c       acc None  nll 1.811  fid 0.9985  gen 0 (40s)
  steps=1 w8a       acc None  nll 1.815  fid 0.9987  gen 0 (40s)
  steps=1 w6c       acc None  nll 1.872  fid 0.9796  gen 0 (40s)
  steps=1 w6a       acc None  nll 1.799  fid 0.9813  gen 0 (39s)
  steps=1 w5c       acc None  nll 2.014  fid 0.9209  gen 0 (40s)
  steps=1 w5a       acc None  nll 2.028  fid 0.9312  gen 0 (41s)
  steps=1 w4t       acc None  nll 11.893  fid 0.0221  gen 0 (40s)
  steps=1 w4c       acc None  nll 3.195  fid 0.7281  gen 0 (40s)
  steps=1 w4a       acc None  nll 2.773  fid 0.8009  gen 0 (39s)
  steps=1 w4g128    acc None  nll 2.270  fid 0.8635  gen 0 (39s)
  steps=1 w4g32     acc None  nll 2.044  fid 0.9025  gen 0 (42s)
  steps=1 w3c       acc None  nll 7.916  fid 0.1315  gen 0 (40s)
  steps=1 w3a       acc None  nll 6.479  fid 0.2800  gen 0 (40s)
  steps=1 w3g32     acc None  nll 3.993  fid 0.6090  gen 0 (40s)
  steps=1 w2a       acc None  nll 10.877  fid 0.0386  gen 0 (40s)
  steps=2 bf16      acc None  nll 1.048  gen 0 (39s)
  steps=2 w8t       acc None  nll 1.153  fid 0.9239  gen 0 (57s)
  steps=2 w8c       acc None  nll 1.058  fid 0.9981  gen 0 (58s)
  steps=2 w8a       acc None  nll 1.047  fid 0.9983  gen 0 (57s)
  steps=2 w6c       acc None  nll 1.083  fid 0.9763  gen 0 (55s)
  steps=2 w6a       acc None  nll 1.042  fid 0.9794  gen 0 (57s)
  steps=2 w5c       acc None  nll 0.990  fid 0.9105  gen 0 (56s)
  steps=2 w5a       acc None  nll 1.040  fid 0.9272  gen 0 (57s)
  steps=2 w4t       acc None  nll 12.580  fid 0.0123  gen 0 (54s)
  steps=2 w4c       acc None  nll 1.652  fid 0.7101  gen 0 (51s)
  steps=2 w4a       acc None  nll 1.327  fid 0.7764  gen 0 (54s)
  steps=2 w4g128    acc None  nll 1.153  fid 0.8491  gen 0 (56s)
  steps=2 w4g32     acc None  nll 1.100  fid 0.8916  gen 0 (55s)
  steps=2 w3c       acc None  nll 8.090  fid 0.1052  gen 0 (54s)
  steps=2 w3a       acc None  nll 5.370  fid 0.2338  gen 0 (55s)
  steps=2 w3g32     acc None  nll 2.018  fid 0.5716  gen 0 (55s)
  steps=2 w2a       acc None  nll 11.391  fid 0.0149  gen 0 (54s)
  steps=3 bf16      acc None  nll 0.883  gen 0 (56s)
  steps=3 w8t       acc None  nll 0.918  fid 0.9273  gen 0 (70s)
  steps=3 w8c       acc None  nll 0.882  fid 0.9976  gen 0 (71s)
  steps=3 w8a       acc None  nll 0.885  fid 0.9981  gen 0 (71s)
  steps=3 w6c       acc None  nll 0.887  fid 0.9751  gen 0 (72s)
  steps=3 w6a       acc None  nll 0.883  fid 0.9803  gen 0 (72s)
  steps=3 w5c       acc None  nll 0.850  fid 0.9104  gen 0 (72s)
  steps=3 w5a       acc None  nll 0.870  fid 0.9308  gen 0 (71s)
  steps=3 w4t       acc None  nll 12.933  fid 0.0074  gen 0 (72s)
  steps=3 w4c       acc None  nll 1.099  fid 0.7302  gen 0 (72s)
  steps=3 w4a       acc None  nll 0.970  fid 0.7866  gen 0 (72s)
  steps=3 w4g128    acc None  nll 0.883  fid 0.8486  gen 0 (72s)
  steps=3 w4g32     acc None  nll 0.886  fid 0.8875  gen 0 (76s)
  steps=3 w3c       acc None  nll 9.128  fid 0.0925  gen 0 (72s)
  steps=3 w3a       acc None  nll 5.643  fid 0.1778  gen 0 (72s)
  steps=3 w3g32     acc None  nll 1.450  fid 0.6039  gen 0 (73s)
  steps=3 w2a       acc None  nll 11.742  fid 0.0068  gen 0 (72s)
  steps=4 bf16      acc None  nll 0.884  gen 0 (72s)
  steps=4 w8t       acc None  nll 0.903  fid 0.9270  gen 0 (84s)
  steps=4 w8c       acc None  nll 0.880  fid 0.9974  gen 0 (90s)
  steps=4 w8a       acc None  nll 0.885  fid 0.9978  gen 0 (87s)
  steps=4 w6c       acc None  nll 0.901  fid 0.9722  gen 0 (86s)
  steps=4 w6a       acc None  nll 0.890  fid 0.9779  gen 0 (87s)
  steps=4 w5c       acc None  nll 0.851  fid 0.9098  gen 0 (87s)
  steps=4 w5a       acc None  nll 0.856  fid 0.9285  gen 0 (86s)
  steps=4 w4t       acc None  nll 12.999  fid 0.0038  gen 0 (87s)
  steps=4 w4c       acc None  nll 1.041  fid 0.7360  gen 0 (87s)
  steps=4 w4a       acc None  nll 0.931  fid 0.7896  gen 0 (90s)
  steps=4 w4g128    acc None  nll 0.871  fid 0.8552  gen 0 (87s)
  steps=4 w4g32     acc None  nll 0.891  fid 0.8866  gen 0 (88s)
  steps=4 w3c       acc None  nll 10.011  fid 0.0887  gen 0 (88s)
